country,total,active,recovered,new_cases,new_deaths,total_deaths,total_tests,date,latest_update
Indonesia,450,392,20,,,38,,3/22/20,2020-03-22T11:30:05+00:00
Indonesia,514,437,29,64,10,48,,3/23/20,2020-03-23T08:45:06+00:00
Indonesia,579,500,30,65,1,49,,3/24/20,2020-03-24T08:45:06+00:00
Indonesia,685,596,31,,3,58,,3/25/20,2020-03-25T09:00:05+00:00
Indonesia,790,701,31,104,3,58,,3/26/20,2020-03-26T08:45:11+00:00
Indonesia,893,780,35,103,20,78,,3/27/20,2020-03-27T08:45:23+00:00
Indonesia,1046,913,46,153,9,87,,3/28/20,2020-03-28T08:45:05+00:00
Indonesia,1155,994,59,109,15,102,,3/29/20,2020-03-29T08:45:04+00:00
Indonesia,1285,1107,64,130,12,114,,3/30/20,2020-03-30T08:45:05+00:00
Indonesia,1414,1217,75,129,8,122,,3/31/20,2020-03-31T09:15:04+00:00
Indonesia,1528,1311,81,114,14,136,,4/1/20,2020-04-01T08:45:04+00:00
Indonesia,1677,1417,103,149,21,157,,4/2/20,2020-04-02T08:47:34+00:00
Indonesia,1790,1508,112,113,13,170,,4/3/20,2020-04-03T08:45:04+00:00
Indonesia,1986,1671,134,196,11,181,,4/4/20,2020-04-04T09:00:05+00:00
Indonesia,2092,1751,150,,,191,9712,4/5/20,2020-04-05T09:00:05+00:00
Indonesia,2491,2090,192,218,11,209,9712,4/6/20,2020-04-06T15:30:06+00:00
Indonesia,2738,2313,204,247,12,221,13186,4/7/20,2020-04-07T13:30:05+00:00
Indonesia,2738,2313,204,247,12,221,14354,4/8/20,2020-04-08T08:45:06+00:00
Indonesia,2956,2494,222,218,19,240,14354,4/9/20,2020-04-09T08:45:05+00:00
Indonesia,3293,2761,252,,,280,17679,4/10/20,2020-04-10T08:45:05+00:00
Indonesia,3842,3229,286,330,21,327,17679,4/11/20,2020-04-11T09:15:05+00:00
Indonesia,4241,3509,359,399,46,373,19452,4/12/20,2020-04-12T12:45:05+00:00
Indonesia,4241,3509,359,399,46,373,27075,4/13/20,2020-04-13T09:00:05+00:00
Indonesia,4839,3954,426,282,60,459,27953,4/14/20,2020-04-14T14:17:34+00:00
Indonesia,5136,4221,446,297,10,469,33001,4/15/20,2020-04-15T09:47:34+00:00
Indonesia,5516,4470,548,380,29,498,36000,4/16/20,2020-04-16T10:30:05+00:00
Indonesia,5923,4796,607,407,24,520,36000,4/17/20,2020-04-17T11:32:35+00:00
Indonesia,6248,5082,631,325,15,535,37134,4/18/20,2020-04-18T10:30:07+00:00
Indonesia,6575,5307,686,327,47,582,39422,4/19/20,2020-04-19T09:15:05+00:00
Indonesia,6760,5423,747,185,8,590,42219,4/20/20,2020-04-20T10:15:04+00:00
Indonesia,7135,5677,842,375,26,616,49767,4/21/20,2020-04-21T12:30:12+00:00
Indonesia,7418,5870,913,283,19,635,50370,4/22/20,2020-04-22T12:15:04+00:00
Indonesia,7775,6168,960,357,12,647,55732,4/23/20,2020-04-23T10:45:05+00:00
Indonesia,8211,6520,1002,436,42,689,59935,4/24/20,2020-04-24T10:00:42+00:00
Indonesia,8607,6845,1042,396,31,720,64054,4/25/20,2020-04-25T10:00:05+00:00
Indonesia,8882,7032,1107,275,23,743,67828,4/26/20,2020-04-26T11:15:05+00:00
Indonesia,8882,7032,1107,275,23,743,72099,4/27/20,2020-04-27T09:00:05+00:00
Indonesia,9511,7484,1254,415,8,773,75157,4/28/20,2020-04-28T09:02:34+00:00
Indonesia,9771,7596,1391,260,11,784,79618,4/29/20,2020-04-29T10:15:10+00:00
Indonesia,10118,7804,1522,347,8,792,86985,4/30/20,2020-04-30T09:45:05+00:00
Indonesia,10551,8160,1591,433,8,800,94599,5/1/20,2020-05-01T09:45:04+00:00
Indonesia,10843,8347,1665,292,31,831,102305,5/2/20,2020-05-02T10:00:04+00:00
Indonesia,10843,8347,1665,292,31,831,107943,5/3/20,2020-05-03T09:15:05+00:00
Indonesia,11587,8769,1954,395,19,864,112965,5/4/20,2020-05-04T09:45:34+00:00
Indonesia,12071,9002,2197,484,8,872,116861,5/5/20,2020-05-05T09:15:05+00:00
